experiment_dir,augment,generator,rbf_components,rbf_gamma,svm_C,roc_auc,pr_auc,f1_macro,f1_weighted,augment_total_s,train_s,inference_s
creditcard_aug_svm-smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,svm-smote,,300,0.012370506640351152,1.0,0.9613838747372894,0.6608079252892225,0.6662265212671193,0.9959610094938409,278.2609705924988,11.964643239974976,0.17619705200195312
creditcard_aug_smote-adv_gen_svm_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,svm,300,0.012370506640351152,1.0,0.9510568718201968,0.6523705172110704,0.6656753356369501,0.9961532077204754,285.96576142311096,11.743858575820923,0.17499041557312012
creditcard_aug_smote-adv_gen_borderline_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,borderline,300,0.012370506640351152,1.0,0.9487179579203657,0.5598558184615346,0.6761858994693405,0.9965857287361376,9.970120429992676,14.876839637756348,0.16600513458251953
creditcard_aug_borderline-smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,borderline-smote,,300,0.012370506640351152,1.0,0.9435841549619285,0.5480298065697873,0.667822992602736,0.9964161900391432,3.818422317504883,11.485719680786133,0.15459418296813965
creditcard_aug_none_rff_300_gamma_-1.0_svmC_1.0_test_20_seed_42,none,,300,0.012370506640351152,1.0,0.9678875770904873,0.5273976569310278,0.5569723421433408,0.9880119587434522,,146.6955008506775,0.1914989948272705
creditcard_aug_smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote,,300,0.012370506640351152,1.0,0.9581267298703388,0.5109691247421915,0.5494540314193862,0.9865079267038994,4.1158154010772705,16.31813144683838,0.15747737884521484
creditcard_aug_smote-adv_gen_smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote,300,0.012370506640351152,1.0,0.9395370838262149,0.4834698682430367,0.5468740785228682,0.9872630557384248,9.864810705184937,17.001347303390503,0.1685488224029541
creditcard_aug_smote-adv_gen_smote-enn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote-enn,300,0.012370506640351152,1.0,0.8816007832508356,0.43393369483106947,0.553480347295714,0.9893158033189848,103.843501329422,13.283565759658813,0.15276646614074707
creditcard_aug_smote-adv_gen_smote-tomek_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,smote-adv,smote-tomek,300,0.012370506640351152,1.0,0.858889954406073,0.4184729955961748,0.5474085149617425,0.9893051269237215,107.92493391036987,13.116814851760864,0.15526223182678223
creditcard_aug_adasyn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,adasyn,,300,0.012370506640351152,1.0,0.911581015354932,0.386258590218594,0.5216058921658963,0.9782752762921424,3.6417346000671387,18.678728580474854,0.17042231559753418
