experiment_dir,dataset,augment,rbf_components,rbf_gamma,svm_C,test_size,target_ratio,effective_target_ratio,seed,training_samples,test_samples,minority_ratio_train,minority_ratio_test,timings,adv_params,roc_auc,pr_auc,f1_weighted,f1_macro,confusion_matrix,classification_report
nsl_kdd_aug_adasyn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,adasyn,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,121794,29704,0.49387490352562524,0.4811809857258282,"{'augment_total_s': 8.314789056777954, 'train_s': 5.769702196121216, 'inference_s': 0.11399650573730469}",,0.9967461984044876,0.996597027758226,0.9738127008558524,0.9737807408080679,"[[14944, 467], [311, 13982]]","{'0': {'precision': 0.9796132415601442, 'recall': 0.9696969696969697, 'f1-score': 0.9746298832583317, 'support': 15411.0}, '1': {'precision': 0.9676794241816042, 'recall': 0.9782410970405093, 'f1-score': 0.972931598357804, 'support': 14293.0}, 'accuracy': 0.9738082413143011, 'macro avg': {'precision': 0.9736463328708742, 'recall': 0.9739690333687395, 'f1-score': 0.9737807408080679, 'support': 29704.0}, 'weighted avg': {'precision': 0.9738709155504663, 'recall': 0.9738082413143011, 'f1-score': 0.9738127008558524, 'support': 29704.0}}"
nsl_kdd_aug_borderline-smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,borderline-smote,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,121895,29704,0.49429426965831247,0.4811809857258282,"{'augment_total_s': 19.60075306892395, 'train_s': 8.46269702911377, 'inference_s': 0.09106040000915527}",,0.9966169929995232,0.9963942348287618,0.9739143024709707,0.9738833610091586,"[[14932, 479], [296, 13997]]","{'0': {'precision': 0.9805621224060941, 'recall': 0.9689183051067419, 'f1-score': 0.9747054407780933, 'support': 15411.0}, '1': {'precision': 0.9669107488256424, 'recall': 0.9792905618134752, 'f1-score': 0.9730612812402238, 'support': 14293.0}, 'accuracy': 0.9739092378130891, 'macro avg': {'precision': 0.9737364356158682, 'recall': 0.9741044334601086, 'f1-score': 0.9738833610091586, 'support': 29704.0}, 'weighted avg': {'precision': 0.9739933410101408, 'recall': 0.9739092378130891, 'f1-score': 0.9739143024709707, 'support': 29704.0}}"
nsl_kdd_aug_none_rff_300_gamma_-1.0_svmC_1.0_test_20_seed_42,nsl_kdd,none,300,0.010188371224784904,1.0,0.2,0.3,0.3,42,118813,29704,0.4811763022564871,0.4811809857258282,"{'train_s': 8.730201959609985, 'inference_s': 0.19987940788269043}",,0.9963623866214061,0.9965297202717535,0.9772743753935081,0.9772407787993411,"[[15097, 314], [361, 13932]]","{'0': {'precision': 0.9766463966877992, 'recall': 0.9796249432223736, 'f1-score': 0.97813340244258, 'support': 15411.0}, '1': {'precision': 0.9779587252562123, 'recall': 0.9747428811306234, 'f1-score': 0.9763481551561022, 'support': 14293.0}, 'accuracy': 0.9772757877726905, 'macro avg': {'precision': 0.9773025609720057, 'recall': 0.9771839121764985, 'f1-score': 0.9772407787993411, 'support': 29704.0}, 'weighted avg': {'precision': 0.9772778642419444, 'recall': 0.9772757877726905, 'f1-score': 0.9772743753935081, 'support': 29704.0}}"
nsl_kdd_aug_smote-adv_gen_borderline_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-adv,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,120476,29704,0.48833792622597033,0.4811809857258282,"{'filter_lr_train_s': 0.37924861907958984, 'filter_knn_s': 0.2260293960571289, 'filter_select_s': 0.0010569095611572266, 'filter_total_s': 0.606334924697876, 'generator_total_s': 6.6684839725494385, 'augment_total_s': 7.306865215301514, 'train_s': 5.502143621444702, 'inference_s': 0.0949857234954834}","{'gen_kind': 'borderline', 'keep_top_frac': 0.6, 'adv_C': 2.0, 'k_density': 10, 'k_majority': 10, 'weights': [0.6, 0.2, 0.1], 'gate_frac': 0.9}",0.9966056251030359,0.9965977479837529,0.974821062547061,0.9747884780391505,"[[14988, 423], [325, 13968]]","{'0': {'precision': 0.9787762032260171, 'recall': 0.9725520731944715, 'f1-score': 0.975654211691186, 'support': 15411.0}, '1': {'precision': 0.9706066291432145, 'recall': 0.9772615965857413, 'f1-score': 0.9739227443871148, 'support': 14293.0}, 'accuracy': 0.9748182063021815, 'macro avg': {'precision': 0.9746914161846159, 'recall': 0.9749068348901064, 'f1-score': 0.9747884780391505, 'support': 29704.0}, 'weighted avg': {'precision': 0.974845159515894, 'recall': 0.9748182063021815, 'f1-score': 0.974821062547061, 'support': 29704.0}}"
nsl_kdd_aug_smote-adv_gen_smote-enn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-adv,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,120184,29704,0.487094787991746,0.4811809857258282,"{'filter_lr_train_s': 0.4236109256744385, 'filter_knn_s': 0.430753231048584, 'filter_select_s': 0.004193544387817383, 'filter_total_s': 0.8585577011108398, 'generator_total_s': 37.11905908584595, 'augment_total_s': 38.080310106277466, 'train_s': 10.031953573226929, 'inference_s': 0.2875185012817383}","{'gen_kind': 'smote-enn', 'keep_top_frac': 0.6, 'adv_C': 2.0, 'k_density': 10, 'k_majority': 10, 'weights': [0.6, 0.2, 0.1], 'gate_frac': 0.9}",0.9963733413874697,0.9965463495985492,0.9771395153763897,0.9771055450958057,"[[15098, 313], [366, 13927]]","{'0': {'precision': 0.9763321262286602, 'recall': 0.9796898319382259, 'f1-score': 0.9780080971659919, 'support': 15411.0}, '1': {'precision': 0.9780196629213483, 'recall': 0.9743930595396347, 'f1-score': 0.9762029930256194, 'support': 14293.0}, 'accuracy': 0.9771411257743065, 'macro avg': {'precision': 0.9771758945750042, 'recall': 0.9770414457389303, 'f1-score': 0.9771055450958057, 'support': 29704.0}, 'weighted avg': {'precision': 0.9771441367978964, 'recall': 0.9771411257743065, 'f1-score': 0.9771395153763897, 'support': 29704.0}}"
nsl_kdd_aug_smote-adv_gen_smote-tomek_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-adv,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,121075,29704,0.49086929589097666,0.4811809857258282,"{'filter_lr_train_s': 0.371845006942749, 'filter_knn_s': 0.5085334777832031, 'filter_select_s': 0.006600618362426758, 'filter_total_s': 0.8869791030883789, 'generator_total_s': 20.915238618850708, 'augment_total_s': 21.945310831069946, 'train_s': 12.030462980270386, 'inference_s': 0.14424586296081543}","{'gen_kind': 'smote-tomek', 'keep_top_frac': 0.6, 'adv_C': 2.0, 'k_density': 10, 'k_majority': 10, 'weights': [0.6, 0.2, 0.1], 'gate_frac': 0.9}",0.9963758564891686,0.9965644978072726,0.9772071652315719,0.9771735851414827,"[[15094, 317], [360, 13933]]","{'0': {'precision': 0.9767050601785945, 'recall': 0.9794302770748167, 'f1-score': 0.9780657702899724, 'support': 15411.0}, '1': {'precision': 0.9777543859649123, 'recall': 0.9748128454488211, 'f1-score': 0.976281399992993, 'support': 14293.0}, 'accuracy': 0.9772084567734985, 'macro avg': {'precision': 0.9772297230717534, 'recall': 0.9771215612618189, 'f1-score': 0.9771735851414827, 'support': 29704.0}, 'weighted avg': {'precision': 0.9772099757948024, 'recall': 0.9772084567734985, 'f1-score': 0.9772071652315719, 'support': 29704.0}}"
nsl_kdd_aug_smote-adv_gen_smote_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-adv,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,120476,29704,0.48833792622597033,0.4811809857258282,"{'filter_lr_train_s': 0.19246649742126465, 'filter_knn_s': 0.22821903228759766, 'filter_select_s': 0.0024826526641845703, 'filter_total_s': 0.4231681823730469, 'generator_total_s': 5.218720436096191, 'augment_total_s': 5.679924964904785, 'train_s': 5.542236804962158, 'inference_s': 0.11818552017211914}","{'gen_kind': 'smote', 'keep_top_frac': 0.6, 'adv_C': 2.0, 'k_density': 10, 'k_majority': 10, 'weights': [0.6, 0.2, 0.1], 'gate_frac': 0.9}",0.9963672533885922,0.9965574420515189,0.9773410122589264,0.977306880643202,"[[15109, 302], [371, 13922]]","{'0': {'precision': 0.9760335917312661, 'recall': 0.9804036078126014, 'f1-score': 0.9782137192062413, 'support': 15411.0}, '1': {'precision': 0.9787682789651294, 'recall': 0.9740432379486462, 'f1-score': 0.9764000420801627, 'support': 14293.0}, 'accuracy': 0.9773431187718826, 'macro avg': {'precision': 0.9774009353481978, 'recall': 0.9772234228806238, 'f1-score': 0.977306880643202, 'support': 29704.0}, 'weighted avg': {'precision': 0.9773494712301083, 'recall': 0.9773431187718826, 'f1-score': 0.9773410122589264, 'support': 29704.0}}"
nsl_kdd_aug_smote-adv_gen_svm_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-adv,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,120476,29704,0.48833792622597033,0.4811809857258282,"{'filter_lr_train_s': 1.5581483840942383, 'filter_knn_s': 0.427764892578125, 'filter_select_s': 0.01928114891052246, 'filter_total_s': 2.0051944255828857, 'generator_total_s': 306.79350566864014, 'augment_total_s': 308.8854806423187, 'train_s': 12.421950817108154, 'inference_s': 0.263094425201416}","{'gen_kind': 'svm', 'keep_top_frac': 0.6, 'adv_C': 2.0, 'k_density': 10, 'k_majority': 10, 'weights': [0.6, 0.2, 0.1], 'gate_frac': 0.9}",0.996586861717979,0.996168913312921,0.9752921699975848,0.9752600068260195,"[[14998, 413], [321, 13972]]","{'0': {'precision': 0.9790456296102878, 'recall': 0.9732009603529946, 'f1-score': 0.976114546046209, 'support': 15411.0}, '1': {'precision': 0.9712895377128954, 'recall': 0.9775414538585322, 'f1-score': 0.9744054676058302, 'support': 14293.0}, 'accuracy': 0.9752895232965257, 'macro avg': {'precision': 0.9751675836615916, 'recall': 0.9753712071057634, 'f1-score': 0.9752600068260195, 'support': 29704.0}, 'weighted avg': {'precision': 0.9753135456657205, 'recall': 0.9752895232965257, 'f1-score': 0.9752921699975848, 'support': 29704.0}}"
nsl_kdd_aug_smote-enn_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-enn,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,121354,29704,0.5007993144024919,0.4811809857258282,"{'augment_total_s': 13.359452486038208, 'train_s': 5.702158212661743, 'inference_s': 0.09863996505737305}",,0.9954417186628759,0.9958252331866704,0.979194982880013,0.9791657326069176,"[[15097, 314], [304, 13989]]","{'0': {'precision': 0.9802610220115577, 'recall': 0.9796249432223736, 'f1-score': 0.9799428793976372, 'support': 15411.0}, '1': {'precision': 0.9780465636579738, 'recall': 0.9787308472678934, 'f1-score': 0.978388585816198, 'support': 14293.0}, 'accuracy': 0.9791947212496633, 'macro avg': {'precision': 0.9791537928347658, 'recall': 0.9791778952451335, 'f1-score': 0.9791657326069176, 'support': 29704.0}, 'weighted avg': {'precision': 0.9791954667581314, 'recall': 0.9791947212496633, 'f1-score': 0.979194982880013, 'support': 29704.0}}"
nsl_kdd_aug_smote-tomek_rff_300_gamma_-1.0_svmC_1.0_test_20_ratio_30_seed_42,nsl_kdd,smote-tomek,300,0.010188371224784904,1.0,0.2,0.3,0.9774370163684442,42,123004,29704,0.5,0.4811809857258282,"{'augment_total_s': 13.397371053695679, 'train_s': 5.855333089828491, 'inference_s': 0.1070258617401123}",,0.996315521287764,0.9965404909188545,0.977577104004997,0.9775436984832748,"[[15106, 305], [361, 13932]]","{'0': {'precision': 0.9766599857761686, 'recall': 0.9802089416650445, 'f1-score': 0.9784312455469913, 'support': 15411.0}, '1': {'precision': 0.978576947390602, 'recall': 0.9747428811306234, 'f1-score': 0.9766561514195583, 'support': 14293.0}, 'accuracy': 0.9775787772690546, 'macro avg': {'precision': 0.9776184665833854, 'recall': 0.977475911397834, 'f1-score': 0.9775436984832748, 'support': 29704.0}, 'weighted avg': {'precision': 0.9775823912554003, 'recall': 0.9775787772690546, 'f1-score': 0.977577104004997, 'support': 29704.0}}"
